Index,SX5E
2011-01-14,2915.62
2011-01-17,2920.4
2011-01-18,2910.63
2011-01-19,2945.62
2011-01-20,2923.76
2011-01-21,2927.42
2011-01-24,2970.56
2011-01-25,2979.06
2011-01-26,2957.78
2011-01-27,2967.78
2011-01-28,2989.75
2011-01-31,2954.13
2011-02-01,2953.63
2011-02-02,3006.81
2011-02-03,3012.7
2011-02-04,2995.49
2011-02-07,3003.19
2011-02-08,3031.18
2011-02-09,3042.5
2011-02-10,3031.62
2011-02-11,3025.68
2011-02-14,3024.37
2011-02-15,3018.38
2011-02-16,3030.46
2011-02-17,3061.92
2011-02-18,3064.54
2011-02-21,3068.0
2011-02-22,3012.34
2011-02-23,2983.33
2011-02-24,2954.92
2011-02-25,2949.13
2011-02-28,2985.02
2011-03-01,3013.09
2011-03-02,2983.27
2011-03-03,2958.8
2011-03-04,2969.24
2011-03-07,2949.18
2011-03-08,2931.42
2011-03-09,2945.42
2011-03-10,2935.11
2011-03-11,2909.73
2011-03-14,2883.84
2011-03-15,2852.11
2011-03-16,2784.2
2011-03-17,2721.24
2011-03-18,2786.16
2011-03-21,2792.61
2011-03-22,2860.81
2011-03-23,2854.79
2011-03-24,2866.23
2011-03-25,2909.78
2011-03-28,2911.33
2011-03-29,2914.76
2011-03-30,2910.93
2011-03-31,2936.44
2011-04-01,2910.91
2011-04-04,2962.92
2011-04-05,2955.84
2011-04-06,2950.96
2011-04-07,2971.48
2011-04-08,2963.69
2011-04-11,2984.66
2011-04-12,2974.58
2011-04-13,2932.33
2011-04-14,2949.98
2011-04-15,2917.72
2011-04-18,2919.05
2011-04-19,2847.96
2011-04-20,2857.61
2011-04-21,2921.43
2011-04-26,2936.3
2011-04-27,2955.36
2011-04-28,2977.59
2011-04-29,3005.33
2011-05-02,3011.25
2011-05-03,3008.89
2011-05-04,3000.39
2011-05-05,2952.02
2011-05-06,2926.54
2011-05-09,2952.9
2011-05-10,2902.4
2011-05-11,2939.02
2011-05-12,2942.43
2011-05-13,2917.05
2011-05-16,2894.6
2011-05-17,2881.31
2011-05-18,2849.6
2011-05-19,2867.3
2011-05-20,2890.6
2011-05-23,2853.98
2011-05-24,2794.26
2011-05-25,2801.27
2011-05-26,2816.84
2011-05-27,2799.82
2011-05-30,2819.4
2011-05-31,2814.34
2011-06-01,2861.92
2011-06-02,2827.66
