Index,UKX
2010-11-30,5550.95
2010-12-01,5528.27
2010-12-02,5642.5
2010-12-03,5767.56
2010-12-06,5745.32
2010-12-07,5770.28
2010-12-08,5808.45
2010-12-09,5794.53
2010-12-10,5807.96
2010-12-13,5812.95
2010-12-14,5860.75
2010-12-15,5891.21
2010-12-16,5882.18
2010-12-17,5881.12
2010-12-20,5871.75
2010-12-21,5891.61
2010-12-22,5951.8
2010-12-23,5983.49
2010-12-24,5996.07
2010-12-28,6008.92
2010-12-29,
2010-12-30,5996.36
2010-12-31,5971.01
2011-01-03,5899.94
2011-01-04,
2011-01-05,6013.87
2011-01-06,6043.86
2011-01-07,6019.51
2011-01-10,5984.33
2011-01-11,5956.3
2011-01-12,6014.03
2011-01-13,6050.72
2011-01-14,6023.88
2011-01-17,6002.07
2011-01-18,5985.7
2011-01-19,6056.43
2011-01-20,5976.7
2011-01-21,5867.91
2011-01-24,5896.25
2011-01-25,5943.85
2011-01-26,5917.71
2011-01-27,5969.21
2011-01-28,5965.08
2011-01-31,5881.37
2011-02-01,5862.94
2011-02-02,5957.82
2011-02-03,6000.07
2011-02-04,5983.34
2011-02-07,5997.38
2011-02-08,6051.03
2011-02-09,6091.33
2011-02-10,6052.29
2011-02-11,6020.01
2011-02-14,6062.9
2011-02-15,6060.09
2011-02-16,6037.08
2011-02-17,6085.27
2011-02-18,6087.38
2011-02-21,6082.99
2011-02-22,6014.8
2011-02-23,5996.76
2011-02-24,5923.53
2011-02-25,5919.98
2011-02-28,6001.2
2011-03-01,5994.01
2011-03-02,5935.76
2011-03-03,5914.89
2011-03-04,6005.09
2011-03-07,5990.39
2011-03-08,5973.78
2011-03-09,5974.76
2011-03-10,5937.3
2011-03-11,5845.29
2011-03-14,5828.67
2011-03-15,5775.24
2011-03-16,5695.28
2011-03-17,5598.23
2011-03-18,5696.11
2011-03-21,5718.13
2011-03-22,5786.09
2011-03-23,5762.71
2011-03-24,5795.88
2011-03-25,5880.87
2011-03-28,5900.76
2011-03-29,5904.49
2011-03-30,5932.17
2011-03-31,5948.3
2011-04-01,5908.76
2011-04-04,6009.92
2011-04-05,6016.98
2011-04-06,6007.06
2011-04-07,6041.13
2011-04-08,6007.37
2011-04-11,6055.75
2011-04-12,6053.44
2011-04-13,5964.47
2011-04-14,6010.44
2011-04-15,5963.8
2011-04-18,5996.01
2011-04-19,5870.08
2011-04-20,5896.87
2011-04-21,6022.26
2011-04-26,6018.3
2011-04-27,6069.36
2011-04-28,6068.16
2011-04-29,6069.9
2011-05-03,
2011-05-04,6082.88
2011-05-05,5984.07
2011-05-06,5919.98
2011-05-09,5976.77
2011-05-10,5942.69
2011-05-11,6018.89
2011-05-12,5976.0
2011-05-13,5944.96
2011-05-16,5925.87
2011-05-17,5923.69
2011-05-18,5861.0
2011-05-19,5923.49
2011-05-20,5955.99
2011-05-23,5948.49
2011-05-24,5835.89
2011-05-25,5858.41
2011-05-26,5870.14
2011-05-27,5880.99
2011-05-30,5938.87
2011-05-31,
2011-06-01,5989.99
2011-06-02,5928.61
2011-06-03,5847.92
2011-06-06,5855.01
2011-06-07,5863.16
2011-06-08,5864.65
2011-06-09,5808.89
2011-06-10,5856.34
2011-06-13,5765.8
2011-06-14,5773.46
2011-06-15,5803.13
2011-06-16,5742.55
2011-06-17,5698.81
2011-06-20,5714.94
2011-06-21,5693.39
2011-06-22,5775.31
2011-06-23,5772.99
2011-06-24,5674.38
2011-06-27,5697.72
2011-06-28,5722.34
2011-06-29,5766.88
2011-06-30,5855.95
2011-07-01,5945.71
2011-07-04,5989.76
2011-07-05,6017.54
2011-07-06,6024.03
2011-07-07,6002.92
2011-07-08,6054.55
2011-07-11,5990.58
2011-07-12,5929.16
2011-07-13,5868.96
2011-07-14,5906.43
2011-07-15,5846.95
2011-07-18,5843.66
2011-07-19,5752.81
2011-07-20,5789.99
2011-07-21,5853.82
2011-07-22,5899.89
2011-07-25,5935.02
2011-07-26,5925.26
2011-07-27,5929.73
2011-07-28,5856.58
2011-07-29,5873.21
2011-08-01,5815.19
2011-08-02,5774.43
2011-08-03,5718.39
2011-08-04,5584.51
2011-08-05,5393.14
2011-08-08,5246.99
2011-08-09,5068.95
2011-08-10,5164.92
2011-08-11,5007.16
2011-08-12,5162.83
2011-08-15,5320.03
2011-08-16,5350.58
2011-08-17,5357.63
2011-08-18,5331.6
2011-08-19,5092.23
2011-08-22,5040.76
2011-08-23,5095.3
2011-08-24,5129.42
2011-08-25,5205.85
2011-08-26,5131.1
2011-08-29,5129.92
2011-08-30,
2011-08-31,5268.66
2011-09-01,5394.53
2011-09-02,5418.65
2011-09-05,5292.03
2011-09-06,5102.58
2011-09-07,5156.84
2011-09-08,5318.59
2011-09-09,5340.38
2011-09-12,5214.65
2011-09-13,5129.62
2011-09-14,5174.25
2011-09-15,5227.02
2011-09-16,5337.54
2011-09-19,5368.41
2011-09-20,5259.56
2011-09-21,5363.71
2011-09-22,5288.41
2011-09-23,5041.61
2011-09-26,5066.81
2011-09-27,5089.37
2011-09-28,5294.05
2011-09-29,5217.63
2011-09-30,5196.84
2011-10-03,5128.48
2011-10-04,5075.5
2011-10-05,4944.44
2011-10-06,5102.17
2011-10-07,5291.26
2011-10-10,5303.4
2011-10-11,5399.0
2011-10-12,5395.7
2011-10-13,5441.8
2011-10-14,5403.38
2011-10-17,5466.36
2011-10-18,5436.7
2011-10-19,5410.35
2011-10-20,5450.49
2011-10-21,5384.68
2011-10-24,5488.65
2011-10-25,5548.06
2011-10-26,5525.54
2011-10-27,5553.24
2011-10-28,5713.82
2011-10-31,5702.24
2011-11-01,5544.22
2011-11-02,5421.57
2011-11-03,5484.1
2011-11-04,5545.64
2011-11-07,5527.16
2011-11-08,5510.82
2011-11-09,5567.34
2011-11-10,5460.38
2011-11-11,5444.82
2011-11-14,5545.38
2011-11-15,5519.04
2011-11-16,5517.44
2011-11-17,5509.02
2011-11-18,5423.14
2011-11-21,5362.94
2011-11-22,5222.6
2011-11-23,5206.82
2011-11-24,5139.78
2011-11-25,5127.57
2011-11-28,5164.65
2011-11-29,5312.76
2011-11-30,5337.0
2011-12-01,5505.42
2011-12-02,5489.34
2011-12-05,5552.29
2011-12-06,5567.96
2011-12-07,5568.72
2011-12-08,5546.91
2011-12-09,5483.77
2011-12-12,5529.21
2011-12-13,5427.86
2011-12-14,5490.15
2011-12-15,5366.8
2011-12-16,5400.85
2011-12-19,5387.34
2011-12-20,5364.99
2011-12-21,5419.6
2011-12-22,5389.74
2011-12-23,5456.97
2011-12-27,5512.7
2011-12-28,
2011-12-29,5507.4
2011-12-30,5566.77
2012-01-02,5572.28
2012-01-03,
2012-01-04,5699.91
2012-01-05,5668.45
2012-01-06,5624.26
2012-01-09,5649.68
2012-01-10,5612.26
2012-01-11,5696.7
2012-01-12,5670.82
2012-01-13,5662.42
2012-01-16,5636.64
2012-01-17,5657.44
2012-01-18,5693.95
2012-01-19,5702.37
2012-01-20,5741.15
2012-01-23,5728.55
2012-01-24,5782.56
2012-01-25,5751.9
2012-01-26,5723.0
2012-01-27,5795.2
2012-01-30,5733.45
2012-01-31,5671.09
2012-02-01,5681.61
2012-02-02,5790.72
2012-02-03,5796.07
2012-02-06,5901.07
2012-02-07,5892.2
2012-02-08,5890.26
